side,session,day,entry_signal_time,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,r_multiple,pnl_currency,qty,risk_target_usd,risk_allocated_usd,per_unit_risk_usd,target_fill,stop_fill,debug_hit_tp,debug_hit_sl,session_high,session_low,session_high_time,session_low_time,kz_high,kz_low,kz_high_time,kz_low_time,fold,strategy,params,variant
SHORT,Asia-London,2024-02-13,2024-02-14 02:00:00+00:00,2024-02-14 02:01:00+00:00,1.0709199905395508,1.0713000000000001,1.0703200101852417,2024-02-14 02:12:00+00:00,1.0713000000000001,SL,-1.0,-124.99999999998613,249999.99999988877,100.0,95.00236511229768,0.0003800094604493598,1.0703200101852417,1.0713000000000001,True,True,1.0714399814605713,1.0703200101852417,2024-02-13 19:55:00+00:00,2024-02-13 20:04:00+00:00,1.0714399814605713,1.0703200101852417,2024-02-13 19:55:00+00:00,2024-02-13 20:04:00+00:00,2024Q1,cb_vp,"{'alpha_prelon_max': 0.32, 'beta': 0.8, 'gamma': 0.6, 'atr_n': 14}",baseline
LONG,Asia-London,2024-02-28,2024-02-29 03:02:00+00:00,2024-02-29 03:03:00+00:00,1.0840100049972534,1.084,1.084030032157898,2024-02-29 03:04:00+00:00,1.084,SL,-0.10004997253343362,-98.74999999998927,987500.0000000014,98.75000000000014,98.75000000000014,0.0001,1.084030032157898,1.084,True,True,1.084030032157898,1.082800030708313,2024-02-28 20:35:00+00:00,2024-02-28 20:58:00+00:00,1.084030032157898,1.082800030708313,2024-02-28 20:35:00+00:00,2024-02-28 20:58:00+00:00,2024Q1,cb_vp,"{'alpha_prelon_max': 0.32, 'beta': 0.8, 'gamma': 0.6, 'atr_n': 14}",baseline
SHORT,Asia-London,2024-03-24,2024-03-25 03:38:00+00:00,2024-03-25 03:39:00+00:00,1.080899953842163,1.0813000000000001,1.0802099704742432,2024-03-25 03:51:00+00:00,1.0813000000000001,SL,-1.0,-117.31499999999163,195524.99999993521,97.76250000000026,78.21902501106602,0.000400046157837064,1.0802099704742432,1.0813000000000001,False,True,1.082200050354004,1.0802099704742432,2024-03-24 21:52:00+00:00,2024-03-24 20:02:00+00:00,1.0819599628448486,1.0802099704742432,2024-03-24 20:38:00+00:00,2024-03-24 20:02:00+00:00,2024Q1,cb_vp,"{'alpha_prelon_max': 0.32, 'beta': 0.8, 'gamma': 0.6, 'atr_n': 14}",baseline
SHORT,Asia-London,2024-07-04,2024-07-05 03:03:00+00:00,2024-07-05 03:04:00+00:00,1.0817300081253052,1.0823,1.0809299945831299,2024-07-05 03:13:00+00:00,1.0823,SL,-1.0,-116.66666666666667,166666.66666668502,100.0,94.9986457824878,0.000569991874694864,1.0809299945831299,1.0823,False,True,1.0817999839782715,1.0809299945831299,2024-07-04 21:20:00+00:00,2024-07-04 19:44:00+00:00,1.0817999839782715,1.0809299945831299,2024-07-04 21:20:00+00:00,2024-07-04 19:44:00+00:00,2024Q3,cb_vp,"{'alpha_prelon_max': 0.32, 'beta': 0.8, 'gamma': 0.6, 'atr_n': 14}",baseline
SHORT,Asia-London,2024-08-01,2024-08-02 03:02:00+00:00,2024-08-02 03:03:00+00:00,1.0789300203323364,1.0794000000000001,1.078179955482483,2024-08-02 03:08:00+00:00,1.0794000000000001,SL,-1.0,-118.59999999999124,197666.66666660068,98.83333333333334,92.8993143081626,0.00046997966766371135,1.078179955482483,1.0794000000000001,False,True,1.0793700218200684,1.078179955482483,2024-08-01 21:45:00+00:00,2024-08-01 20:06:00+00:00,1.0792499780654907,1.078179955482483,2024-08-01 20:58:00+00:00,2024-08-01 20:06:00+00:00,2024Q3,cb_vp,"{'alpha_prelon_max': 0.32, 'beta': 0.8, 'gamma': 0.6, 'atr_n': 14}",baseline
LONG,Asia-London,2024-08-25,2024-08-26 02:43:00+00:00,2024-08-26 02:44:00+00:00,1.118899941444397,1.1181,1.1201499700546265,2024-08-26 02:55:00+00:00,1.1181,SL,-1.0,-109.85325000000012,122059.16666668023,97.64733333333344,97.64018608522356,0.0007999414443968789,1.1201499700546265,1.1181,False,True,1.1201499700546265,1.1185400485992432,2024-08-25 20:52:00+00:00,2024-08-25 17:00:00+00:00,1.1201499700546265,1.118630051612854,2024-08-25 20:52:00+00:00,2024-08-25 19:54:00+00:00,2024Q3,cb_vp,"{'alpha_prelon_max': 0.32, 'beta': 0.8, 'gamma': 0.6, 'atr_n': 14}",baseline
LONG,Asia-London,2024-11-10,2024-11-11 02:00:00+00:00,2024-11-11 02:01:00+00:00,1.0721499919891357,1.0718,1.0727699995040894,2024-11-11 02:09:00+00:00,1.0718,SL,-1.0,-100.0,250000.00000002753,100.0,87.4979972839237,0.0003499919891356562,1.0727699995040894,1.0718,False,True,1.0727699995040894,1.0707499980926514,2024-11-10 20:25:00+00:00,2024-11-10 17:59:00+00:00,1.0727699995040894,1.0713499784469604,2024-11-10 20:25:00+00:00,2024-11-10 19:50:00+00:00,2024Q4,cb_vp,"{'alpha_prelon_max': 0.32, 'beta': 0.8, 'gamma': 0.6, 'atr_n': 14}",baseline
SHORT,Asia-London,2024-12-09,2024-12-10 02:45:00+00:00,2024-12-10 02:46:00+00:00,1.0553499460220337,1.0559,1.0545200109481812,2024-12-10 03:03:00+00:00,1.0545200109481812,TP,1.5088247828348254,115.50000000003664,165000.00000001816,99.0,90.75890636446093,0.0005500539779663693,1.0545200109481812,1.0559,True,False,1.0561399459838867,1.0545200109481812,2024-12-09 21:08:00+00:00,2024-12-09 20:40:00+00:00,1.0561399459838867,1.0545200109481812,2024-12-09 21:08:00+00:00,2024-12-09 20:40:00+00:00,2024Q4,cb_vp,"{'alpha_prelon_max': 0.32, 'beta': 0.8, 'gamma': 0.6, 'atr_n': 14}",baseline
LONG,Asia-London,2024-12-24,2024-12-25 02:18:00+00:00,2024-12-25 02:19:00+00:00,1.0406899452209473,1.0404,1.041059970855713,2024-12-25 02:24:00+00:00,1.0404,SL,-1.0,-133.5400000000005,333850.000000038,100.15500000000037,96.79821201325849,0.00028994522094727415,1.041059970855713,1.0404,False,True,1.041059970855713,1.038599967956543,2024-12-24 19:55:00+00:00,2024-12-24 17:04:00+00:00,1.041059970855713,1.0400500297546387,2024-12-24 19:55:00+00:00,2024-12-24 19:33:00+00:00,2024Q4,cb_vp,"{'alpha_prelon_max': 0.32, 'beta': 0.8, 'gamma': 0.6, 'atr_n': 14}",baseline
