day,session_high_time,session_low_time,kz_high_time,kz_low_time,session_high,session_low,kz_high,kz_low,high_made_in_kz,low_made_in_kz,early_takeout,early_bias
01-02 Tue,17:21,21:00,19:35,21:00,1.0955800,1.0937500,1.0948600,1.0937500,False,True,kz(0),
01-03 Wed,22:55,18:14,20:29,19:37,1.0927500,1.0892900,1.0923600,1.0916500,False,False,,
01-04 Thu,17:17,21:00,20:02,21:00,1.0954300,1.0943000,1.0950000,1.0943000,False,True,kz(0),
01-05 Fri,18:11,17:19,20:57,19:40,1.0959700,1.0935200,1.0942000,1.0935700,False,False,,
01-07 Sun,22:00,22:40,21:28,21:04,1.0945600,1.0934900,1.0944600,1.0937600,False,False,,
01-08 Mon,17:07,17:41,19:58,21:00,1.0965600,1.0948800,1.0956800,1.0949399,False,False,,
01-09 Tue,17:02,18:41,20:59,19:50,1.0940000,1.0920000,1.0931400,1.0925000,False,False,,
01-10 Wed,22:56,17:11,20:58,19:43,1.0974700,1.0959300,1.0972900,1.0961500,False,False,,
01-11 Thu,18:55,17:01,20:43,19:37,1.0982900,1.0949800,1.0975100,1.0958101,False,False,,
01-12 Fri,18:13,20:39,19:31,20:39,1.0963300,1.0948100,1.0955600,1.0948100,False,True,kz(0),
01-14 Sun,21:51,22:58,21:16,21:07,1.0950201,1.0944000,1.0949600,1.0944400,False,False,,
01-15 Mon,17:59,22:58,19:59,21:05,1.0952801,1.0944700,1.0951700,1.0945400,False,False,,
01-16 Tue,17:31,17:00,19:58,19:34,1.0877000,1.0862800,1.0872400,1.0870000,False,False,,
01-17 Wed,22:59,17:40,20:01,19:30,1.0886000,1.0856500,1.0882699,1.0872800,False,False,,
01-18 Thu,22:59,17:18,20:35,19:46,1.0880400,1.0854200,1.0877301,1.0863700,False,False,,
01-19 Fri,20:59,17:02,20:59,19:30,1.0898300,1.0885900,1.0898300,1.0890900,True,False,kz(0),
01-21 Sun,22:04,21:40,21:20,21:12,1.0897599,1.0887800,1.0895900,1.0888700,False,False,,
01-22 Mon,17:00,22:53,19:32,21:10,1.0896300,1.0876800,1.0885201,1.0880001,False,False,,
01-23 Tue,22:32,17:01,20:38,19:31,1.0859300,1.0830200,1.0855900,1.0843700,False,False,,
01-24 Wed,17:01,20:06,19:40,20:06,1.0906000,1.0877600,1.0886500,1.0877600,False,True,kz(0),
01-25 Thu,20:52,18:23,20:52,19:30,1.0847900,1.0821600,1.0847900,1.0833600,True,False,kz(0),
01-26 Fri,17:27,20:59,19:30,20:59,1.0865800,1.0850199,1.0859700,1.0850199,False,True,kz(0),
01-28 Sun,22:00,21:01,21:00,21:01,1.0849000,1.0841399,1.0848401,1.0841399,False,True,kz(0),
01-29 Mon,19:18,17:15,19:30,20:04,1.0840400,1.0809200,1.0837801,1.0826700,False,False,,
01-30 Tue,19:02,17:24,20:46,21:10,1.0848500,1.0831500,1.0847000,1.0839900,False,False,,
01-31 Wed,18:43,19:34,20:55,19:34,1.0864201,1.0794899,1.0819401,1.0794899,False,True,kz(0),
02-01 Thu,22:10,17:30,21:27,21:16,1.0876100,1.0862900,1.0873500,1.0866801,False,False,,
02-02 Fri,19:16,17:10,19:55,20:59,1.0797400,1.0780400,1.0795300,1.0784900,False,False,,
02-04 Sun,21:48,22:19,21:03,21:06,1.0785800,1.0769800,1.0785700,1.0781400,False,False,,
02-05 Mon,17:48,19:13,19:46,19:33,1.0746500,1.0736700,1.0743999,1.0738800,False,False,,
02-06 Tue,19:58,17:23,19:58,21:16,1.0757400,1.0743500,1.0757400,1.0749201,True,False,kz(0),
02-07 Wed,22:33,17:00,20:34,21:03,1.0777000,1.0764500,1.0774800,1.0767900,False,False,,
02-08 Thu,17:02,18:37,19:33,21:08,1.0782700,1.0772600,1.0779901,1.0774000,False,False,,
02-09 Fri,17:34,19:08,20:20,20:59,1.0790800,1.0779700,1.0788500,1.0782100,False,False,,
02-11 Sun,22:54,21:00,21:26,21:00,1.0798301,1.0776600,1.0783499,1.0776600,False,True,kz(0),
02-12 Mon,17:22,18:51,19:58,21:01,1.0786000,1.0767900,1.0775000,1.0769700,False,False,,
02-13 Tue,17:10,18:59,21:24,19:30,1.0720100,1.0700500,1.0711600,1.0706000,False,False,,
02-14 Wed,17:04,21:00,19:56,21:00,1.0733800,1.0724601,1.0728800,1.0724601,False,True,kz(1),
02-15 Thu,22:21,17:04,20:55,21:01,1.0776800,1.0760500,1.0773799,1.0768000,False,False,,
02-16 Fri,18:02,19:50,20:29,19:50,1.0787400,1.0772901,1.0777800,1.0772901,False,True,kz(0),
02-18 Sun,22:55,21:00,21:14,21:00,1.0785000,1.0771800,1.0776800,1.0771800,False,True,kz(0),
02-19 Mon,17:18,22:47,20:30,21:02,1.0783600,1.0773700,1.0782300,1.0776600,False,False,,
02-20 Tue,17:48,19:03,19:32,21:16,1.0813000,1.0804300,1.0812600,1.0805600,False,False,,
02-21 Wed,18:04,17:02,19:37,20:11,1.0824300,1.0799900,1.0820900,1.0812900,False,False,,
02-22 Thu,17:44,17:20,20:53,19:35,1.0826100,1.0814400,1.0823600,1.0818501,False,False,,
02-23 Fri,17:34,20:59,20:29,20:59,1.0829600,1.0817400,1.0823100,1.0817400,False,True,kz(0),
02-25 Sun,21:00,21:25,21:00,21:25,1.0832200,1.0818200,1.0832200,1.0818200,True,True,kz(1),low_takeout
