day,kz_high,kz_low,high_in_kz,low_in_kz,cur_tail_max_hi,cur_tail_min_lo,next_head_max_hi,next_head_min_lo,took_high,took_low,early_takeout,early_bias
2024-01-02,1.0948599576950073,1.09375,False,True,1.0965399742126465,1.0898000001907349,1.0927499532699585,1.0892900228500366,False,True,True,
2024-01-03,1.092360019683838,1.0916500091552734,False,False,1.0972100496292114,1.091599941253662,1.095579981803894,1.0943000316619873,False,False,False,
2024-01-04,1.0950000286102295,1.0943000316619873,False,True,1.0998400449752808,1.0876699686050415,1.0959700345993042,1.0935200452804565,False,True,True,
2024-01-07,1.0944600105285645,1.0937600135803223,False,False,1.0978800058364868,1.0922600030899048,1.096560001373291,1.0948799848556519,False,False,False,
2024-01-08,1.0956799983978271,1.094939947128296,False,False,1.0966299772262573,1.0910300016403198,1.093999981880188,1.0920000076293945,False,False,False,
2024-01-09,1.0931400060653687,1.0924999713897705,False,False,1.0968999862670898,1.0922800302505493,1.0984699726104736,1.0959299802780151,False,False,False,
2024-01-10,1.0972900390625,1.0961500406265259,False,False,1.100000023841858,1.093019962310791,1.0985300540924072,1.094980001449585,False,False,False,
2024-01-11,1.0975099802017212,1.095810055732727,False,False,1.098680019378662,1.0935900211334229,1.0963300466537476,1.0948100090026855,False,False,False,
2024-01-14,1.0949599742889404,1.09443998336792,False,False,1.096750020980835,1.0933500528335571,1.0952800512313843,1.091539978981018,False,False,False,
2024-01-15,1.095170021057129,1.094539999961853,False,False,1.0951000452041626,1.0861999988555908,1.08843994140625,1.0862799882888794,False,False,False,
2024-01-16,1.0872399806976318,1.0870000123977661,False,False,1.08843994140625,1.0844500064849854,1.0902800559997559,1.0856499671936035,False,False,False,
2024-01-17,1.0882699489593506,1.087280035018921,False,False,1.0906699895858765,1.0846600532531738,1.08896005153656,1.08542001247406,False,False,False,
2024-01-18,1.087730050086975,1.0863699913024902,False,False,1.0893299579620361,1.0865600109100342,1.0898300409317017,1.0885900259017944,False,False,False,
2024-01-21,1.0895899534225464,1.0888700485229492,False,False,1.090939998626709,1.0880000591278076,1.0896300077438354,1.0875600576400757,False,False,False,
2024-01-22,1.0885200500488281,1.0880000591278076,False,False,1.0916199684143066,1.0821499824523926,1.0859899520874023,1.0830199718475342,False,False,False,
2024-01-23,1.0855900049209595,1.0843700170516968,False,False,1.0932300090789795,1.0849000215530396,1.0906000137329102,1.0870200395584106,False,False,False,
2024-01-24,1.0886499881744385,1.0877599716186523,False,True,1.0901800394058228,1.082419991493225,1.084879994392395,1.0821599960327148,False,True,True,
2024-01-25,1.0847899913787842,1.083359956741333,True,False,1.088539958000183,1.081279993057251,1.0865800380706787,1.0850199460983276,True,False,True,
2024-01-28,1.0848400592803955,1.0841399431228638,False,True,1.0850000381469727,1.0795799493789673,1.084220051765442,1.0809199810028076,False,True,True,
2024-01-29,1.08378005027771,1.082669973373413,False,False,1.085729956626892,1.0811899900436401,1.0848499536514282,1.0816199779510498,False,False,False,
2024-01-30,1.0846999883651733,1.0839899778366089,False,False,1.0887399911880493,1.0806000232696533,1.0864200592041016,1.0794899463653564,False,False,False,
2024-01-31,1.0819400548934937,1.0794899463653564,False,True,1.0874700546264648,1.0779900550842285,1.0879600048065186,1.0862900018692017,False,True,True,
2024-02-01,1.0873500108718872,1.0866800546646118,False,False,1.0897400379180908,1.0780800580978394,1.079740047454834,1.0780400037765503,False,False,False,
2024-02-04,1.078570008277893,1.0781400203704834,False,False,1.0786099433898926,1.072309970855713,1.0749000310897827,1.0736700296401978,False,False,False,
2024-02-05,1.0743999481201172,1.0738799571990967,False,False,1.0762300491333008,1.0722500085830688,1.0765600204467773,1.0743499994277954,False,False,False,
2024-02-06,1.0757399797439575,1.0749200582504272,True,False,1.0783799886703491,1.0752899646759033,1.078320026397705,1.076449990272522,True,False,True,
2024-02-07,1.0774799585342407,1.0767899751663208,False,False,1.0788899660110474,1.0741599798202515,1.0782699584960938,1.0772199630737305,False,False,False,
2024-02-08,1.0779900550842285,1.0773999691009521,False,False,1.079509973526001,1.0762100219726562,1.0790799856185913,1.077970027923584,False,False,False,
2024-02-11,1.0783499479293823,1.0776599645614624,False,True,1.080549955368042,1.0755900144577026,1.0786000490188599,1.0762100219726562,False,True,True,
2024-02-12,1.0774999856948853,1.0769699811935425,False,False,1.0798499584197998,1.0700600147247314,1.0720100402832031,1.0700500011444092,False,False,False,
2024-02-13,1.0711599588394165,1.0706000328063965,False,False,1.0734399557113647,1.0694899559020996,1.0735399723052979,1.0724600553512573,False,False,False,
2024-02-14,1.0728800296783447,1.0724600553512573,False,True,1.07846999168396,1.0724600553512573,1.077679991722107,1.0759899616241455,False,False,False,
2024-02-15,1.0773799419403076,1.076799988746643,False,False,1.0779999494552612,1.0731899738311768,1.0787400007247925,1.0772900581359863,False,False,False,
2024-02-18,1.077679991722107,1.077180027961731,False,True,1.0789400339126587,1.0762100219726562,1.0783599615097046,1.0761499404907227,False,True,True,
2024-02-19,1.0782300233840942,1.0776599645614624,False,False,1.0838700532913208,1.0761499404907227,1.081719994544983,1.080430030822754,False,False,False,
2024-02-20,1.0812599658966064,1.0805599689483643,False,False,1.0819900035858154,1.0789899826049805,1.0832099914550781,1.079990029335022,False,False,False,
2024-02-21,1.0820900201797485,1.0812900066375732,False,False,1.088819980621338,1.0802600383758545,1.0831799507141113,1.0814399719238281,False,False,False,
2024-02-22,1.082360029220581,1.0818500518798828,False,False,1.0839500427246094,1.0811699628829956,1.0829600095748901,1.0817400217056274,False,False,False,
